dist,tsne,gbm,rf
PA,IDH Mutant,IDH Mutant,IDH Mutant
Diffuse Glioma,IDH Mutant,IDH Mutant,IDH Mutant
CNS,IDH Mutant,CNS,CNS
CNS,CNS,PFA,CNS
CNS,CNS,IDH Mutant,CNS
CNS,CNS,IDH Mutant,CNS
CNS,IDH Mutant,Diffuse Glioma,CNS
IDH Mutant,IDH Mutant,Diffuse Glioma,IDH Mutant
IDH Mutant,IDH Mutant,Midline,IDH Mutant
Diffuse Glioma,PXA,Diffuse Glioma,Diffuse Glioma
Diffuse Glioma,PXA,Diffuse Glioma,Diffuse Glioma
Pituitary,Pituitary,PitNET,Pituitary
AT/RT-MYC,AT/RT-MYC,MB-GP3,AT/RT-MYC
AT/RT-TYR,AT/RT-SHH,AT/RT-TYR,AT/RT-SHH
AT/RT-TYR,AT/RT-SHH,AT/RT-TYR,Diffuse Glioma
AT/RT-SHH,AT/RT-SHH,AT/RT-TYR,AT/RT-SHH
Midline,Midline,Diffuse Glioma,AT/RT-SHH
AT/RT-SHH,AT/RT-SHH,Retinoblastoma,AT/RT-SHH
AT/RT-SHH,AT/RT-SHH,G34 Mutant,AT/RT-SHH
AT/RT-SHH,AT/RT-SHH,AT/RT-TYR,AT/RT-SHH
AT/RT-MYC,AT/RT-MYC,AT/RT-SHH,AT/RT-MYC
AT/RT-SHH,AT/RT-MYC,NB-FOXR2,AT/RT-MYC
AT/RT-MYC,AT/RT-MYC,AT/RT-SHH,AT/RT-MYC
YAP,YAP,PFB,YAP
YAP,PFB,PFB,PFB
PFA,PFA,CNS,PFA
YAP,PFB,PFB,PFB
YAP,YAP,SFT,PFB
AT/RT-TYR,AT/RT-TYR,AT/RT-MYC,AT/RT-TYR
Diffuse Glioma,IDH Mutant,PA,Diffuse Glioma
PH/PG,Ganglioneuroma,CNS,PH/PG
Neuroblastoma,Neuroblastoma,Retinoblastoma,Neuroblastoma
MB-GP3,MB-GP3,MB-GP4,MB-GP3
MB-SHH,MB-SHH,Cerebellum,MB-SHH
MB-GP3,MB-GP3,Ada. Cranio.,MB-GP3
Ada. Cranio.,Ada. Cranio.,Neurofibroma,Diffuse Glioma
Ada. Cranio.,Ada. Cranio.,PCNSL,PCNSL
Diffuse Glioma,Ada. Cranio.,Diffuse Glioma,Diffuse Glioma
Retina,Retina,PitNET,Retina
IDH Mutant,CNS,IDH Mutant,CNS
IDH Mutant,NB-FOXR2,IDH Mutant,Diffuse Glioma
PFA,DIG,PA,AT/RT-MYC
PFA,DIG,CNS,AT/RT-MYC
AT/RT-TYR,AT/RT-TYR,CNS,AT/RT-TYR
PFA,DIG,PA,Diffuse Glioma
Diffuse Glioma,G34 Mutant,Diffuse Glioma,Diffuse Glioma
G34 Mutant,Midline,Midline,Midline
Diffuse Glioma,Midline,Diffuse Glioma,Midline
Midline,Diffuse Glioma,IDH Mutant,Midline
G34 Mutant,G34 Mutant,NB-FOXR2,NB-FOXR2
IDH Mutant,Midline,Midline,Midline
Midline,Midline,Diffuse Glioma,Midline
IDH Mutant,Midline,IDH Mutant,Midline
Midline,IDH Mutant,IDH Mutant,IDH Mutant
G34 Mutant,Midline,G34 Mutant,Midline
AT/RT-TYR,AT/RT-TYR,Choroid Plexus,AT/RT-TYR
G34 Mutant,G34 Mutant,IDH Mutant,G34 Mutant
G34 Mutant,Midline,G34 Mutant,Midline
MB-SHH,MB-SHH,Retinoblastoma,MB-SHH
MB-SHH,MB-SHH,Retinoblastoma,MB-SHH
ETMR,ETMR,MB-SHH,MB-SHH
AT/RT-SHH,AT/RT-SHH,AT/RT-MYC,AT/RT-SHH
Diffuse Glioma,PXA,Diffuse Glioma,Diffuse Glioma
Midline,Midline,AT/RT-TYR,Midline
Midline,Midline,PA,Midline
AT/RT-TYR,AT/RT-TYR,AT/RT-MYC,AT/RT-MYC
NB-FOXR2,NB-FOXR2,AT/RT-SHH,Midline
MB-SHH,Lung,ETMR,MB-SHH
NB-FOXR2,NB-FOXR2,Midline,Midline
ETMR,ETMR,Diffuse Glioma,Diffuse Glioma
ETMR,ETMR,Lung,MB-SHH
HGNET-MN1,AT/RT-SHH,HGNET-MN1,HGNET-MN1
RELA,EFT-CIC,CNS,AT/RT-SHH
AT/RT-SHH,ETMR,MB-SHH,AT/RT-SHH
Neuroblastoma,Neuroblastoma,Retinoblastoma,PitNET
RELA,Diffuse Glioma,ETMR,Diffuse Glioma
Neuroblastoma,Ganglioneuroma,Neuroblastoma,Neuroblastoma
Neuroblastoma,Ganglioneuroma,Neuroblastoma,Ganglioneuroma
Neuroblastoma,Ganglioneuroma,Lung,Lung
Diffuse Glioma,Diffuse Glioma,RELA,Diffuse Glioma
YAP,PFA,YAP,YAP
PA,Diffuse Glioma,Diffuse Glioma,Diffuse Glioma
MB-GP4,MB-GP3,MB-GP4,MB-GP4
IDH Mutant,IDH Mutant,IDH Mutant,Diffuse Glioma
Meningioma,Meningioma,IDH Mutant,Diffuse Glioma
Diffuse Glioma,MB-GP3,MB-SHH,CNS
Diffuse Glioma,MB-GP4,MB-GP3,MB-GP4
Lung,AT/RT-MYC,AT/RT-MYC,Diffuse Glioma
Cerebellum,MB-GP4,Cerebellum,Cerebellum
AT/RT-SHH,AT/RT-SHH,CNS,ETMR
AT/RT-MYC,AT/RT-MYC,AT/RT-MYC,Diffuse Glioma
Neuroblastoma,MB-GP3,AT/RT-MYC,MB-GP3
AT/RT-MYC,AT/RT-MYC,SFT,AT/RT-MYC
AT/RT-MYC,Diffuse Glioma,G34 Mutant,Diffuse Glioma
AT/RT-MYC,Diffuse Glioma,Diffuse Glioma,Diffuse Glioma
AT/RT-MYC,AT/RT-MYC,MB-GP3,AT/RT-MYC
PFA,PFA,Diffuse Glioma,MPE
PFA,PFA,MPNST,MPE
MPE,PFA,MPE,MPE
MPE,PFA,MPE,MPE
MPE,PFA,MPE,MPE
PA,PA,Midline,PA
PA,PA,Diffuse Glioma,PA
Diffuse Glioma,PA,Ganglioglioma,PA
Diffuse Glioma,PA,Diffuse Glioma,Diffuse Glioma
IDH Mutant,IDH Mutant,CNS,CNS
CNS,IDH Mutant,CNS,CNS
IDH Mutant,IDH Mutant,Ganglioglioma,CNS
Diffuse Glioma,Diffuse Glioma,Ganglioglioma,Diffuse Glioma
Ada. Cranio.,PA,Diffuse Glioma,Diffuse Glioma
MB-GP4,MB-GP4,CNS,MB-GP4
MB-GP4,MB-GP4,Cerebellum,MB-GP4
Diffuse Glioma,Diffuse Glioma,CNS,Diffuse Glioma
MB-GP4,MB-GP4,MB-GP4,MB-GP3
MB-GP4,MB-GP4,CNS,MB-GP3
MB-GP4,MB-GP4,MB-GP4,MB-GP3
MB-GP3,MB-GP4,MB-GP3,MB-GP3
MB-GP3,MB-GP4,MB-GP4,MB-GP4
MB-GP4,MB-GP3,MB-GP3,MB-GP3
Diffuse Glioma,CNS,CNS,CNS
Diffuse Glioma,PXA,Diffuse Glioma,Diffuse Glioma
Diffuse Glioma,PXA,Diffuse Glioma,Neurofibroma
Diffuse Glioma,PXA,IDH Mutant,Neurofibroma
Diffuse Glioma,PXA,Diffuse Glioma,Neurofibroma
CNS,Cerebellum,CNS,CNS
CNS,Cerebellum,CNS,CNS
Diffuse Glioma,Diffuse Glioma,IDH Mutant,Diffuse Glioma
Diffuse Glioma,CNS,CNS,CNS
Diffuse Glioma,Ganglioglioma,PA,Diffuse Glioma
Diffuse Glioma,Ganglioglioma,Diffuse Glioma,Diffuse Glioma
PA,PXA,Diffuse Glioma,Diffuse Glioma
ETMR,AT/RT-SHH,Retinoblastoma,AT/RT-TYR
CNS,CNS,PA,CNS
Midline,Midline,Midline,Diffuse Glioma
PXA,PXA,PXA,Diffuse Glioma
PA,Angiocentric,PA,PA
Diffuse Glioma,PA,IDH Mutant,Diffuse Glioma
G34 Mutant,Midline,Diffuse Glioma,Diffuse Glioma
PA,Angiocentric,PA,PA
MPNST,Diffuse Glioma,MPNST,MPNST
ETMR,AT/RT-SHH,Diffuse Glioma,AT/RT-TYR
MB-SHH,Diffuse Glioma,AT/RT-SHH,Diffuse Glioma
DIG,DIG,EFT-CIC,Diffuse Glioma
Diffuse Glioma,Diffuse Glioma,Diffuse Glioma,Cerebellum
Diffuse Glioma,Diffuse Glioma,Diffuse Glioma,Breast
Diffuse Glioma,Meningioma,Meningioma,Meningioma
Diffuse Glioma,Diffuse Glioma,IDH Mutant,Diffuse Glioma
Diffuse Glioma,CNS,CNS,CNS
Diffuse Glioma,CNS,CNS,CNS
Diffuse Glioma,CNS,CNS,CNS
Diffuse Glioma,Diffuse Glioma,MPNST,Diffuse Glioma
Diffuse Glioma,Diffuse Glioma,IDH Mutant,IDH Mutant
Diffuse Glioma,IDH Mutant,IDH Mutant,Diffuse Glioma
IDH Mutant,Diffuse Glioma,IDH Mutant,IDH Mutant
Diffuse Glioma,Diffuse Glioma,IDH Mutant,Diffuse Glioma
Diffuse Glioma,Diffuse Glioma,IDH Mutant,Diffuse Glioma
Diffuse Glioma,Diffuse Glioma,IDH Mutant,IDH Mutant
Diffuse Glioma,IDH Mutant,IDH Mutant,Diffuse Glioma
IDH Mutant,Diffuse Glioma,Diffuse Glioma,IDH Mutant
Diffuse Glioma,CNS,CNS,CNS
Diffuse Glioma,Diffuse Glioma,IDH Mutant,Diffuse Glioma
Diffuse Glioma,Diffuse Glioma,CNS,Diffuse Glioma
IDH Mutant,Diffuse Glioma,IDH Mutant,IDH Mutant
Diffuse Glioma,Diffuse Glioma,IDH Mutant,Diffuse Glioma
SFT,SFT,Diffuse Glioma,SFT
Diffuse Glioma,IDH Mutant,MB-SHH,CNS
HGNET-BCOR,HGNET-BCOR,Diffuse Glioma,Diffuse Glioma
HGNET-BCOR,HGNET-BCOR,IDH Mutant,HGNET-BCOR
Ada. Cranio.,Ada. Cranio.,"Cerebellum, Fetal",Diffuse Glioma
Ganglioneuroma,Ganglioneuroma,Neuroblastoma,Neuroblastoma
Neuroblastoma,PH/PG,PH/PG,Neuroblastoma
Cerebellum,MB-SHH,MB-SHH,MB-SHH
MB-GP4,MB-GP4,MB-GP3,MB-GP3
CNS,IDH Mutant,CNS,CNS
CNS,IDH Mutant,CNS,CNS
IDH Mutant,IDH Mutant,CNS,CNS
Diffuse Glioma,IDH Mutant,MB-GP3,Diffuse Glioma
MPNST,MPNST,MPNST,Diffuse Glioma
IDH Mutant,CNS,CNS,CNS
Neuroblastoma,CNS,CNS,CNS
IDH Mutant,Ganglioglioma,IDH Mutant,Diffuse Glioma
Diffuse Glioma,Ganglioglioma,Diffuse Glioma,Diffuse Glioma
Diffuse Glioma,Ganglioglioma,Diffuse Glioma,Diffuse Glioma
PA,Diffuse Glioma,Diffuse Glioma,Diffuse Glioma
ETMR,Midline,Diffuse Glioma,Diffuse Glioma
Midline,Midline,PA,Diffuse Glioma
IDH Mutant,PA,CNS,PA
G34 Mutant,ETMR,Ada. Cranio.,Diffuse Glioma
Diffuse Glioma,G34 Mutant,Diffuse Glioma,Diffuse Glioma
Diffuse Glioma,Midline,Diffuse Glioma,Diffuse Glioma
Diffuse Glioma,PFA,Diffuse Glioma,PFA
Diffuse Glioma,Midline,Midline,Diffuse Glioma
Diffuse Glioma,IDH Mutant,PA,IDH Mutant
Diffuse Glioma,CNS,Diffuse Glioma,CNS
Diffuse Glioma,IDH Mutant,IDH Mutant,IDH Mutant
Diffuse Glioma,CNS,CNS,Diffuse Glioma
Diffuse Glioma,IDH Mutant,Diffuse Glioma,IDH Mutant
Diffuse Glioma,IDH Mutant,IDH Mutant,IDH Mutant
Diffuse Glioma,IDH Mutant,IDH Mutant,IDH Mutant
Diffuse Glioma,IDH Mutant,IDH Mutant,IDH Mutant
Diffuse Glioma,Diffuse Glioma,IDH Mutant,Diffuse Glioma
Diffuse Glioma,IDH Mutant,IDH Mutant,Diffuse Glioma
Diffuse Glioma,IDH Mutant,IDH Mutant,IDH Mutant
CNS,CNS,Diffuse Glioma,CNS
IDH Mutant,IDH Mutant,Diffuse Glioma,Diffuse Glioma
CNS,Cerebellum,CNS,CNS
Diffuse Glioma,Diffuse Glioma,MPNST,Diffuse Glioma
IDH Mutant,IDH Mutant,CNS,IDH Mutant
IDH Mutant,IDH Mutant,Diffuse Glioma,Diffuse Glioma
IDH Mutant,IDH Mutant,Diffuse Glioma,Diffuse Glioma
Diffuse Glioma,Ganglioglioma,Diffuse Glioma,Diffuse Glioma
IDH Mutant,Diffuse Glioma,IDH Mutant,IDH Mutant
IDH Mutant,IDH Mutant,Diffuse Glioma,CNS
IDH Mutant,IDH Mutant,CNS,CNS
Diffuse Glioma,DIG,Diffuse Glioma,PA
IDH Mutant,Cerebellum,Cerebellum,Cerebellum
Diffuse Glioma,G34 Mutant,G34 Mutant,Diffuse Glioma
Diffuse Glioma,DIG,IDH Mutant,Diffuse Glioma
IDH Mutant,IDH Mutant,CNS,CNS
Diffuse Glioma,PA,Diffuse Glioma,Diffuse Glioma
Diffuse Glioma,Diffuse Glioma,Diffuse Glioma,IDH Mutant
