dist,tsne,gbm,rf
AT/RT-SHH,AT/RT-SHH,AT/RT-MYC,AT/RT-SHH
CNS,IDH Mutant,Diffuse Glioma,Diffuse Glioma
PA,IDH Mutant,SE,Diffuse Glioma
PA,IDH Mutant,SE,Diffuse Glioma
CNS,IDH Mutant,IDH Mutant,CNS
CNS,CNS,Uveal Melanoma,CNS
DIG,DIG,Diffuse Glioma,Diffuse Glioma
DIG,PA,DIG,PA
DIG,DIG,DIG,PA
PA,DIG,PA,Diffuse Glioma
DIG,DIG,DIG,PA
CNS,CNS,Diffuse Glioma,CNS
Diffuse Glioma,Diffuse Glioma,CNS,PA
Retinoblastoma,Uveal Melanoma,Uveal Melanoma,Retinoblastoma
Retinoblastoma,Retina,Retina,Retina
Retinoblastoma,Retina,Retinoblastoma,Retinoblastoma
Retinoblastoma,Uveal Melanoma,Uveal Melanoma,Retinoblastoma
Uveal Melanoma,Uveal Melanoma,PH/PG,Uveal Melanoma
Retina,Retina,Retinoblastoma,Retinoblastoma
Diffuse Glioma,IDH Mutant,IDH Mutant,Diffuse Glioma
DIG,DIG,Meningioma,Diffuse Glioma
IDH Mutant,Diffuse Glioma,Angiocentric,Midline
Ganglioglioma,Ganglioglioma,Midline,Diffuse Glioma
Diffuse Glioma,Diffuse Glioma,RELA,Diffuse Glioma
Diffuse Glioma,Ganglioglioma,Ganglioglioma,Diffuse Glioma
Diffuse Glioma,CNS,CNS,CNS
CNS,CNS,Uveal Melanoma,CNS
Diffuse Glioma,Diffuse Glioma,Midline,Diffuse Glioma
Ganglioglioma,Ganglioglioma,IDH Mutant,Diffuse Glioma
Diffuse Glioma,Diffuse Glioma,Midline,Diffuse Glioma
PA,Ganglioglioma,Diffuse Glioma,Diffuse Glioma
Diffuse Glioma,Diffuse Glioma,Ganglioglioma,Diffuse Glioma
Diffuse Glioma,Ganglioglioma,Diffuse Glioma,Diffuse Glioma
CNS,CNS,Diffuse Glioma,CNS
CNS,CNS,PCNSL,PCNSL
PCNSL,Ganglioglioma,Diffuse Glioma,Diffuse Glioma
Diffuse Glioma,PXA,Diffuse Glioma,Diffuse Glioma
G34 Mutant,G34 Mutant,NB-FOXR2,G34 Mutant
Diffuse Glioma,G34 Mutant,Midline,Midline
Diffuse Glioma,G34 Mutant,Diffuse Glioma,Diffuse Glioma
Diffuse Glioma,Diffuse Glioma,Midline,Diffuse Glioma
Diffuse Glioma,Midline,Diffuse Glioma,Midline
PXA,Diffuse Glioma,RELA,Diffuse Glioma
Midline,Diffuse Glioma,Midline,Midline
ETMR,ETMR,MB-GP3,Diffuse Glioma
Diffuse Glioma,Ganglioglioma,Diffuse Glioma,Diffuse Glioma
ETMR,ETMR,ETMR,Diffuse Glioma
MB-SHH,MB-SHH,SFT,MB-GP4
PA,Midline,Midline,Midline
ETMR,ETMR,Neuroblastoma,ETMR
Diffuse Glioma,G34 Mutant,Midline,Midline
PXA,PXA,Diffuse Glioma,PXA
Midline,Midline,Diffuse Glioma,Midline
IDH Mutant,Midline,IDH Mutant,IDH Mutant
Midline,PXA,Diffuse Glioma,Diffuse Glioma
Diffuse Glioma,Midline,Midline,Midline
Diffuse Glioma,Midline,G34 Mutant,Midline
Diffuse Glioma,PXA,Diffuse Glioma,Diffuse Glioma
IDH Mutant,Midline,Midline,Diffuse Glioma
Diffuse Glioma,PXA,Diffuse Glioma,Diffuse Glioma
Diffuse Glioma,Diffuse Glioma,RELA,Diffuse Glioma
AT/RT-SHH,AT/RT-MYC,Diffuse Glioma,Diffuse Glioma
PA,PA,Diffuse Glioma,PA
MB-GP4,MB-GP3,MB-GP3,MB-GP3
MB-GP4,MB-GP4,MB-GP4,MB-GP3
MB-GP4,MB-GP4,MB-GP4,MB-GP3
MB-GP4,MB-GP3,MB-GP4,MB-GP4
Diffuse Glioma,Midline,MB-GP3,MB-GP3
MB-GP3,MB-GP4,MB-GP4,MB-GP3
MB-GP3,MB-GP3,PFA,MB-GP3
G34 Mutant,G34 Mutant,IDH Mutant,Diffuse Glioma
Diffuse Glioma,G34 Mutant,Diffuse Glioma,Diffuse Glioma
IDH Mutant,Midline,IDH Mutant,Diffuse Glioma
Diffuse Glioma,CNS,CNS,Diffuse Glioma
Diffuse Glioma,CNS,CNS,CNS
Diffuse Glioma,CNS,CNS,CNS
Diffuse Glioma,CNS,CNS,CNS
Diffuse Glioma,AT/RT-SHH,ETMR,Diffuse Glioma
CNS,IDH Mutant,CNS,CNS
IDH Mutant,Diffuse Glioma,Diffuse Glioma,Diffuse Glioma
Diffuse Glioma,Diffuse Glioma,SE,Diffuse Glioma
Diffuse Glioma,Ganglioglioma,Diffuse Glioma,Diffuse Glioma
IDH Mutant,IDH Mutant,CNS,IDH Mutant
IDH Mutant,Diffuse Glioma,Diffuse Glioma,Diffuse Glioma
IDH Mutant,IDH Mutant,CNS,IDH Mutant
Diffuse Glioma,Midline,Midline,Diffuse Glioma
IDH Mutant,IDH Mutant,Diffuse Glioma,IDH Mutant
Diffuse Glioma,IDH Mutant,IDH Mutant,IDH Mutant
Diffuse Glioma,IDH Mutant,Diffuse Glioma,Diffuse Glioma
Diffuse Glioma,Diffuse Glioma,IDH Mutant,Diffuse Glioma
Diffuse Glioma,IDH Mutant,SFT,Diffuse Glioma
IDH Mutant,Ganglioglioma,Diffuse Glioma,Diffuse Glioma
Diffuse Glioma,Diffuse Glioma,SE,Diffuse Glioma
IDH Mutant,IDH Mutant,Diffuse Glioma,IDH Mutant
IDH Mutant,Diffuse Glioma,Diffuse Glioma,Diffuse Glioma
IDH Mutant,Diffuse Glioma,Diffuse Glioma,Diffuse Glioma
IDH Mutant,IDH Mutant,Meningioma,Meningioma
Diffuse Glioma,Diffuse Glioma,Diffuse Glioma,CNS
Diffuse Glioma,Diffuse Glioma,Ganglioglioma,Diffuse Glioma
CNS,CNS,MB-SHH,CNS
IDH Mutant,IDH Mutant,PA,IDH Mutant
IDH Mutant,Angiocentric,SE,IDH Mutant
IDH Mutant,Angiocentric,SE,PA
Angiocentric,Angiocentric,Angiocentric,IDH Mutant
Angiocentric,Angiocentric,Diffuse Glioma,IDH Mutant
CNS,IDH Mutant,PA,CNS
CNS,IDH Mutant,PA,CNS
IDH Mutant,PA,PA,PA
Angiocentric,Angiocentric,Angiocentric,Midline
MB-GP4,MB-GP4,MB-GP4,MB-GP3
MB-WNT,MB-WNT,PH/PG,MB-WNT
MB-GP4,MB-GP3,MB-GP3,MB-GP3
MB-GP4,MB-GP3,MB-GP4,MB-GP4
MB-SHH,MB-GP3,PH/PG,MB-GP4
MB-WNT,MB-WNT,PH/PG,MB-WNT
MB-SHH,MB-SHH,PH/PG,MB-SHH
MB-GP3,MB-GP3,SE,MB-GP3
MB-GP3,MB-GP3,MB-GP4,MB-GP4
MB-SHH,MB-WNT,MB-WNT,MB-WNT
MB-GP3,MB-GP4,MB-GP4,MB-GP4
MB-SHH,MB-SHH,PH/PG,MB-SHH
MB-GP4,MB-GP3,MB-GP4,MB-GP4
MB-GP4,MB-GP3,MB-GP4,MB-GP4
MB-GP4,MB-GP3,MB-GP4,MB-GP3
MB-SHH,MB-SHH,Cerebellum,MB-SHH
MB-GP4,MB-GP3,MB-GP4,MB-GP3
MB-GP3,MB-GP3,MB-GP4,MB-GP3
MB-GP4,MB-GP3,MB-GP4,Papilloma
MB-GP4,MB-GP4,PH/PG,MB-GP4
MB-SHH,MB-GP3,MB-GP4,MB-GP4
MB-GP3,MB-GP4,MB-GP4,MB-GP4
MB-SHH,MB-SHH,PH/PG,MB-SHH
MB-SHH,MB-SHH,PH/PG,MB-SHH
MB-GP4,MB-GP4,Breast,MB-GP4
MB-GP4,MB-GP4,MB-GP3,MB-GP4
MB-GP4,MB-GP4,MB-GP3,MB-GP4
MB-GP4,MB-GP3,MB-GP3,MB-GP3
MB-GP4,MB-GP3,MB-GP3,MB-GP3
MB-GP4,MB-GP4,MB-GP4,MB-GP3
Diffuse Glioma,Midline,MB-GP3,MB-GP3
MB-GP3,MB-GP3,PFA,MB-GP3
MB-GP4,MB-GP3,MB-GP3,MB-GP3
MB-GP4,MB-GP4,MB-GP3,MB-GP3
MB-GP3,MB-GP3,MB-GP4,MB-GP4
MB-GP4,MB-GP4,MB-GP3,MB-GP4
MB-GP3,MB-GP4,MB-GP3,MB-GP3
MB-GP4,MB-GP4,MB-GP3,MB-GP4
MB-GP3,MB-GP3,MB-GP4,MB-GP3
MB-GP4,MB-GP4,MB-GP3,MB-GP3
MB-GP4,MB-GP4,MB-GP4,MB-GP3
MB-GP4,MB-GP3,MB-GP4,MB-GP4
Diffuse Glioma,IDH Mutant,IDH Mutant,IDH Mutant
Diffuse Glioma,IDH Mutant,Diffuse Glioma,Diffuse Glioma
Peri. Nerve,Peri. Nerve,Peri. Nerve,Neurofibroma
CNS,CNS,Lung,CNS
Lung,Breast,PFA,Lung
Lung,Breast,Lung,Lung
